team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff,win_percentage,loss_percentage,goals_per_game,goals_against_per_game,league
BRIGHTON & HOVE ALBION,51.0,38.0,12.0,15.0,11.0,42.0,44.0,-2.0,0.315789,0.289474,1.105263,1.157895,premierleague
WOLVERHAMPTON WANDERERS,51.0,38.0,15.0,6.0,17.0,38.0,43.0,-5.0,0.394737,0.447368,1.0,1.131579,premierleague
NEWCASTLE UNITED,49.0,38.0,13.0,10.0,15.0,44.0,62.0,-18.0,0.342105,0.394737,1.157895,1.631579,premierleague
CRYSTAL PALACE,48.0,38.0,11.0,15.0,12.0,50.0,46.0,4.0,0.289474,0.315789,1.315789,1.210526,premierleague
BRENTFORD,46.0,38.0,13.0,7.0,18.0,48.0,56.0,-8.0,0.342105,0.473684,1.263158,1.473684,premierleague
ASTON VILLA,45.0,38.0,13.0,6.0,19.0,52.0,54.0,-2.0,0.342105,0.5,1.368421,1.421053,premierleague
SOUTHAMPTON,40.0,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,0.236842,0.421053,1.131579,1.763158,premierleague
EVERTON,39.0,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,0.289474,0.552632,1.131579,1.736842,premierleague
LEEDS UNITED,38.0,38.0,9.0,11.0,18.0,42.0,79.0,-37.0,0.236842,0.473684,1.105263,2.078947,premierleague
BURNLEY,35.0,38.0,7.0,14.0,17.0,34.0,53.0,-19.0,0.184211,0.447368,0.894737,1.394737,premierleague
WATFORD,23.0,38.0,6.0,5.0,27.0,34.0,77.0,-43.0,0.157895,0.710526,0.894737,2.026316,premierleague
NORWICH CITY,22.0,38.0,5.0,7.0,26.0,23.0,84.0,-61.0,0.131579,0.684211,0.605263,2.210526,premierleague
MANCHESTER CITY,98.0,38.0,32.0,2.0,4.0,95.0,23.0,72.0,0.842105,0.105263,2.5,0.605263,premierleague
LIVERPOOL,97.0,38.0,30.0,7.0,1.0,89.0,22.0,67.0,0.789474,0.026316,2.342105,0.578947,premierleague
CHELSEA,72.0,38.0,21.0,9.0,8.0,63.0,39.0,24.0,0.552632,0.210526,1.657895,1.026316,premierleague
